"AA1","Shooting Stars","1928","Asquith",,,
"AA13","Pygmalion","1938","Asquith","G.Pascal","GB","COMEDIE"
"AA14","French Without Tears","1939","Asquith","David E. Rose","Paramount",
"AA16","Quiet Wedding","1940","Asquith","Paul Soskin","Paramount",
"AA2","Underground","1930","Asquith",,,
"AA20","The Demi-Paradise","1943","Asquith",,,
"AA23","Fanny by Gaslight","1944","A.Asquith",,,
"AA24","The Way to the Stars","1945","Asquith",,,
"AA26","The Winslow Boy","1948","Asquith",,,
"AA28","The Browning Version","1950","Asquith",,,
"AA29","The Importance of Being Earnest","1951","Asquith","Teddy Baird","Rank","COMEDIE"
"AA35","Orders to Kill","1958","Asquith",,,
"AA37","Libel","1960","Asquith","Anatole deGruenwald","MGM,Comet","SUSPENSE"
"AA38","The Millionairess","1961","Asquith","Dimitri deGruenwald","Fox","COMEDIE"
"AA41","The VIPs","1963","Asquith","Anatole deGrunwald","MGM","DRAME"
"AaB10","A Private Function","1984","A.Bennett","Mark Shivas","Handmade","COMEDIE"
"AAg10","Topos","1985","Angelidi",,,
"AAl10","Sweet Liberty","1981","Alda","M.Bergman","Universal","ROMANTIQUE"
"AAl20","Betsy's Wedding","1990","Alda","M.Bergman, Louis A. Stroller","Touchstone","COMEDIE"
"AAl6","The Four Seasons","1981","Alda","M.Bregman","Universal","ROMANTIQUE"
"AAm10","Open Your Eyes","1998","Amenabar",,,"SUSPENSE"
"AAn10","Gas Food Lodging","1992","Anders",,"IRS Media","DRAME"
"AAn12","Mi Vida Loca","1994","Anders",,,"DRAME"
"AAr10","Rock 'N Roll High School","1979","Arkush",,,"MUSICAL"
"AAr20","Heartbeeps","1981","Arkush",,,"SCIENCE FICTION"
"aAS10","The Indiscreet Mrs. Jarvis","1955","Alan Smithee",,,
"aAS14","Fade In","1968","Alan Smithee","Richard E. Lyons","Universal",
"aAS18","Dune","1984","Alan Smithee",,,"TV"
"aAS19","Stitches","1985","Alan Smithee",,,
"aAS20","Appoinent with Fear","1985","Alan Smithee",,,
"aAS21","Let's Get Harry","1986","Alan Smithee",,,
"aAS22","Morgan Stewart's Coming Home","199x","Alan Smithee",,,
"aAS23","Ghost Fever","1987","Alan Smithee",,,
"aAS24","I Love New York","1988","Alan Smithee",,,
"aAS25","Starfire","1990","Alan Smithee",,,
"aAS26","The Shrimp on the Barbie","1990","Alan Smithee",,,
"aAS29","Brother Future","1992","Alan Smithee",,,
"aAS30","Boy Meets Girl","1994","Alan Smithee",,,
"aAS32","Raging Angels","199x","Alan Smithee",,,
"AAt10","A Place in the World","1994","Aristarain",,,"ROMANTIQUE"
"AB1","Perfido Incanto","1916","A.Bragaglia",,,
"AB2","Thais","1916","A.Bragaglia",,"Novissima Italy",
"AbA10","Il processo Clemenceau","1917","deAntoni",,"Ceasar","DRAME"
"AbB1","The Price of Fear","1956","A.Biberman",,,
"ABd","The Young Guns","1956","Band",,,"ACTION"
"ABd4","I Bury the Living","1957","Band",,,"HORREUR"
"ABe10","Ma Vie En Rose","1997","Berliner",,,"DRAME"
"AbF10","Ms. 45","1981","Ferrara",,"Navaron, Rochelle","ACTION"
"AbF12","Driller Killer","1982","Ferrara",,,"HORREUR"
"AbF14","China Girl","1983","Ferrara",,,"HORREUR"
"AbF20","King of New York","1990","Ferrara",,,"ACTION"
"AbF25","Bad Luitenant","1992","Ferrara",,,"CnR"
"AbF26","Dangerous Game","1993","Ferrara",,,
"AbF27","Body Snatchers","1994","Ferrara",,"Warners","HORREUR, SCIENCE FICTION"
"AbF30","The Blackout","1997","Ferrara",,,
"AbH1","Menace II Society","1992","Alb.Hughes","All.Hughes","NewLine","DRAME"
"ABi10","Burning Secret","1988","Birkin","Norma Heyman","Vestron Trickenham, GB",
"ABi20","The Cement Garden","1994","Birkin",,,"DRAME"
"ABl10","Too Bad She's Bad","1955","Blasetti",,,"COMEDIE"
"ABo10","And God Spoke","1993","Borman","Mark Borman, Richard Raddon","Brookwwod","COMEDIE"
"ABr1","Real Life","1979","A.Brooks",,,"COMEDIE"
"ABr2","Modern Romance","1981","A.Brooks",,,
"ABr3","Lost in America","1985","A.Brooks","Mart Katz","Warners","DRAME"
"ABr4","Defending Your Life","1991","A.Brooks",,"Warners","COMEDIE"
"ABr7","Mother","1996","A.Brooks",,,"COMEDIE"
"ABr9","The Muse","1998","A.Brooks",,,"COMEDIE"
"ABu10","Just Between Friends","1986","A.Burns","Edward Teets, A.Burns","Orion, MTM","DRAME"
"ABW10","Radio Parade","1935","A.Woods",,,
"ABW15","Drake of England","1935","A.Woods",,,
"ABW20","The Dark Stairway","1937","A.Woods",,,
"ABW25","The Return of Carol Deane","1938","A.Woods",,,
"ABW30","They Drive by Night","1938","A.Woods",,,
"ABW35","The Nursemaid Who Disappeared","1939","A.Woods",,,
"ABW40","Busman's Honeymoon","1940","A.Woods","Harold Huth","MGM","COMEDIE"
"ABW5","On Secret Service","1934","A.Woods",,,
"ABz10","Portrait of a Hian","1983","Buckhantz",,,
"AC20","The Great Impersonation","1935","Crosland","Edmund Grainger","Universal","AVENTURE"
"AC5","Don Juan","1926","Crosland",,"Warners","DRAME"
"AC6","The Beloved Rogue","1927","Crosland",,"U.A.","ACTION"
"AC7","In Old San Francisco","1927","Crosland",,"Warners",
"AC8","The Jazz Singer","1927","Crosland",,"Warners",
"AC9","Glorious Betsy","1928","Crosland",,"Warners",
"ACa10","Rien que les Heures","1926","Cavalcanti",,,
"ACa17","En Rade","1927","Cavalcanti",,,
"ACa20","Sea Fever","1929","Cavalcanti",,,
"ACa30","North Sea","1938","Cavalcanti",,,
"ACa36","Men of the Lightship","1941","Cavalcanti",,,
"ACa40","Went the Day Well?","1942","Cavalcanti","S.C. Balcon","Ealing","DRAME"
"ACa46","Champagne Charlie","1945","Cavalcanti",,,
"ACa50","Dead of Night","1945","Cavalcanti","Sidney Cole, John Croydon","Ealing","HORREUR"
"ACa60","Nicholas Nickleby","1947","Cavalcanti","John Croydon, Michael Balcon","Ealing","DRAME,COMEDIE"
"ACa62","They made Me a Fugitive","1947","Cavalcanti",,,
"ACa64","The First Gentleman","1948","Cavalcanti",,,
"ACa66","For Them That Trespass","1949","Cavalcanti",,,
"ACa70","O Canto do Mar","1953","Cavalcanti",,"Brazil",
"ACa80","Herr Puntila","1955","Cavalcanti",,"Germany",
"ACa90","La Prima Notte","1958","Cavalcanti",,"Italy",
"ACa95","Yerma","1962","Cavalcanti",,"Italy",
"ACd10","Cpacabana Fools Me","1968","daFontoura",,,
"ACf10","Leave it to Beaver","1997","Cadiff",,,"FAMILIAL"
"AcG10","Fedora, or Piu Forte dell'Odio e Amore","1913","Gonsalvi",,"Aquila","DRAME"
"ACh10","A chinese Ghost Story: The Tsui Hark Animation","1998","A.Chen","Hark",,"CARTOON"
"ACj110","I Can Take Care of Myself","1960","Crosland jr","Hitchcock, J.Harrison","Shamley,CBS","SUSPENSE"
